organism,mol_type,isolate,isolation_source,host,db_xref,country,date,strain,file,accession,collected_by,note,lat_lon,clone,chromosome,identified_by,lab_host,md5sum,file_name,guid,file_size
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/FL-BPHL-0047/2020,,Homo sapiens,taxon:2697049,USA,2020-04-17,SARS-CoV-2/human/USA/FL-BPHL-0047/2020-MT507020.gb,MT507020.gb,MT507020,,,,,,,,be71f80562467e0261d4997f547a3595,MT507020.gb,dg.63D5/8c038b1d-88f9-4729-998e-c22c34e84763,66626
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/UT-00071/2020,,Homo sapiens,taxon:2697049,USA,2020-03-16,SARS-CoV-2/human/USA/UT-00071/2020-MT444519.gb,MT444519.gb,MT444519,,,,,,,,02cc631e38c046c9039705b8ded29b02,MT444519.gb,dg.63D5/5724a4d7-2323-4f90-a0bd-e8e7528af417,66265
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/SRB/Novi Pazar-363/2020,,Homo sapiens,taxon:2697049,Serbia,2020-04-04,SARS-CoV-2/human/SRB/Novi/Pazar-363/2020-MT459979.gb,MT459979.gb,MT459979,,,,,,,,5ca273bb9e71e3dcb8afff58798296bc,MT459979.gb,dg.63D5/f8e2d5a1-4ffc-417d-b0b3-4fde5700a6b1,66330
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/CA-CZB-1071/2020,nasopharyngeal/oropharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-04-23,SARS-CoV-2/human/USA/CA-CZB-1071/2020-MT449662.gb,MT449662.gb,MT449662,,,,,,,,8bee0a477d802678bdc1cdfc5345a9fa,MT449662.gb,dg.63D5/deeca6ce-3165-458d-ac55-197ac884aca1,66297
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC376/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-22,SARS-CoV-2/human/AUS/VIC376/2020-MT451264.gb,MT451264.gb,MT451264,,,,,,,,7c55a00b2daebec9de3fa6cfd61ab229,MT451264.gb,dg.63D5/a901f7bf-74e9-4a9b-82fc-dcce2faa6dd9,66832
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW-1646/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-03-20,SARS-CoV-2/human/USA/WA-UW-1646/2020-MT326113.gb,MT326113.gb,MT326113,,,,,,,,04368d89ed43818ef8f90cb77d684879,MT326113.gb,dg.63D5/d0d90c3a-ef33-4593-b47c-5d9655e69c4e,65949
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC458/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-26,SARS-CoV-2/human/AUS/VIC458/2020-MT451324.gb,MT451324.gb,MT451324,,,,,,,,1e2c2d054f440447392400bfcf3a86d4,MT451324.gb,dg.63D5/a74d63d8-1098-4dfd-8f53-b8d8eb0c9dc0,66848
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW-1920/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-03-23,SARS-CoV-2/human/USA/WA-UW-1920/2020-MT326053.gb,MT326053.gb,MT326053,,,,,,,,847d901c96b9b47b418e97bf71978d9a,MT326053.gb,dg.63D5/3c9cae43-dcd7-4669-a31d-c46dfb6a9ace,65831
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/IND/GBRC88a/2020,,Homo sapiens,taxon:2697049,India,2020-05-03,SARS-CoV-2/human/IND/GBRC88a/2020-MT481902.gb,MT481902.gb,MT481902,,GNR1021a,,,,,,a7fe5e0daed864c1fa1c71086b8d9598,MT481902.gb,dg.63D5/2ebad538-a374-4f13-a1c9-55fae6013857,66426
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/GRC/37_35684/2020,,Homo sapiens,taxon:2697049,Greece,2020-03-20,SARS-CoV-2/human/GRC/37_35684/2020-MT459839.gb,MT459839.gb,MT459839,,,,,,,,d6689dfd5d6163f73cdb430f6e37f0e5,MT459839.gb,dg.63D5/94f9a806-cc99-4606-bb09-091851bb5ef2,66103
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/CA-CZB-1221/2020,Nasopharyngeal/oropharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-03-22,SARS-CoV-2/human/USA/CA-CZB-1221/2020-MT499196.gb,MT499196.gb,MT499196,,,,,,,,e66ed3db7b2346c3e8c46de8edda98b2,MT499196.gb,dg.63D5/6affd928-169b-43d1-a907-a8a1c6df900b,66205
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/CA-CZB-1232/2020,Nasopharyngeal/oropharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-03-19,SARS-CoV-2/human/USA/CA-CZB-1232/2020-MT499207.gb,MT499207.gb,MT499207,,,,,,,,b0c8faf1815397a36aa96b4ec4cb6e7e,MT499207.gb,dg.63D5/10cff35a-73f8-477e-8ae7-e3d21569fdcd,66206
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/IND/nimh-3952/2020,nasopharyngeal/oropharyngeal swab,Homo sapiens,taxon:2697049,India,2020-04-23,SARS-CoV-2/human/IND/nimh-3952/2020-MT434758.gb,MT434758.gb,MT434758,,,,,,,,f003be6f9bba6cb385d40c9ca1a3b7ad,MT434758.gb,dg.63D5/7dcef02b-98da-4ffc-a226-c1bfcf3beff4,66566
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/hCoV-19-USA-CA-UCSF- UC40/2020,nasal swab,Homo sapiens,taxon:2697049,USA,2020-03-15,SARS-CoV-2/human/USA/hCoV-19-USA-CA-UCSF-/UC40/2020-MT510718.gb,MT510718.gb,MT510718,,,,,,,,2b37c83d0bc838512c43afd2d222c2f6,MT510718.gb,dg.63D5/6e64fff0-6f2c-41ba-b48e-edc4b9470b7e,66380
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC423/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-25,SARS-CoV-2/human/AUS/VIC423/2020-MT451297.gb,MT451297.gb,MT451297,,,,,,,,b229f656b31162a3e30f5333573ec27d,MT451297.gb,dg.63D5/d3e134f9-4501-42fc-bdca-50efba6a9b9a,67245
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC205/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-19,SARS-CoV-2/human/AUS/VIC205/2020-MT451106.gb,MT451106.gb,MT451106,,,,,,,,ea3e246ae359fd3db1e03c5fb246d2c6,MT451106.gb,dg.63D5/9a126daa-6fee-4279-b7a6-9a4e3e05fa30,67343
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC142/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-16,SARS-CoV-2/human/AUS/VIC142/2020-MT451046.gb,MT451046.gb,MT451046,,,,,,,,1fce2e6f40fa0f8342e890844a0c50d5,MT451046.gb,dg.63D5/14aa80b3-fc30-4cdf-8c7c-b3e703fbb0c8,66829
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/VA-DCLS-0281/2020,,Homo sapiens,taxon:2697049,USA,2020-04-01,SARS-CoV-2/human/USA/VA-DCLS-0281/2020-MT558701.gb,MT558701.gb,MT558701,,,,,,,,442e18f0f169f60b7f31244301c7542d,MT558701.gb,dg.63D5/217d90ae-70a7-4b8b-b9b6-7f78404632ce,66056
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC261/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-21,SARS-CoV-2/human/AUS/VIC261/2020-MT451157.gb,MT451157.gb,MT451157,,,,,,,,848ad45e4c458a0e31c7dd5d0df7084d,MT451157.gb,dg.63D5/a85638c2-cad4-4a17-a733-f222b10d82c5,66838
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC561/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-25,SARS-CoV-2/human/AUS/VIC561/2020-MT451386.gb,MT451386.gb,MT451386,,,,,,,,c75ff50ef1ebe9fca611e301306db573,MT451386.gb,dg.63D5/762e2902-2738-4545-9fdc-dd86f510992d,66831
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC108/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-18,SARS-CoV-2/human/AUS/VIC108/2020-MT451017.gb,MT451017.gb,MT451017,,,,,,,,72b38a11cc8a86173d11c269a4bb09d8,MT451017.gb,dg.63D5/7798e06c-ade8-4e6f-976b-5b2e705423f0,66839
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/CA-CZB-1145/2020,Nasopharyngeal/oropharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-04-07,SARS-CoV-2/human/USA/CA-CZB-1145/2020-MT481936.gb,MT481936.gb,MT481936,,,,,,,,fa87d6afb86494fc8fede634ee9ae0fe,MT481936.gb,dg.63D5/4d1bb9b3-19a2-4a53-bb1b-73e8d4f68abf,66143
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/MA_MGH_00580/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-03-28,SARS-CoV-2/human/USA/MA_MGH_00580/2020-MT520348.gb,MT520348.gb,MT520348,Massachusetts General Hospital,,,,,,,08cde1fb9c5fafc68d7392217369974a,MT520348.gb,dg.63D5/cdf86ad6-ce96-48e9-9d29-a6f673cbdbc1,67489
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC439/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-26,SARS-CoV-2/human/AUS/VIC439/2020-MT451310.gb,MT451310.gb,MT451310,,,,,,,,11eabbf7d48126087519374fd6d93d35,MT451310.gb,dg.63D5/e7ee9320-8531-47ae-80c3-2418ba669069,67276
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC178/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-18,SARS-CoV-2/human/AUS/VIC178/2020-MT451081.gb,MT451081.gb,MT451081,,,,,,,,95b8ccacfb6b2f346c01f4ce20b172b9,MT451081.gb,dg.63D5/33e87c7e-cb29-4972-854c-71fd82bc5356,66837
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW-1956/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-03-24,SARS-CoV-2/human/USA/WA-UW-1956/2020-MT326067.gb,MT326067.gb,MT326067,,,,,,,,3038afa03a58be5ae0504c01fca94bbb,MT326067.gb,dg.63D5/615fa614-089a-4269-9c0f-bf807daf1c62,65962
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/MI-SC2-0007/2020,swab,Homo sapiens,taxon:2697049,USA,2020-03-12,SARS-CoV-2/human/USA/MI-SC2-0007/2020-MT308698.gb,MT308698.gb,MT308698,,,,,,,,797b0a1fc9e4b009e03007729341ef3a,MT308698.gb,dg.63D5/76f6b825-eb10-4cbd-98ae-210ab1187a2c,57575
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/ID-UW-6457/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-04-03,SARS-CoV-2/human/USA/ID-UW-6457/2020-MT461634.gb,MT461634.gb,MT461634,,,,,,,,364e03cd6d168bd11b446dc011223ce4,MT461634.gb,dg.63D5/b185057e-fb21-4554-8aeb-55303d8faa39,65971
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/FL-BPHL-0041/2020,,Homo sapiens,taxon:2697049,USA,2020-04-17,SARS-CoV-2/human/USA/FL-BPHL-0041/2020-MT507014.gb,MT507014.gb,MT507014,,,,,,,,89f1f9e1d20cca121e0f56252e29ebff,MT507014.gb,dg.63D5/c5737c85-c025-4eff-bf32-ec170854e925,66950
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/UNC_200300/2020,nasal swab,Homo sapiens,taxon:2697049,USA,2020-04-01,SARS-CoV-2/human/USA/UNC_200300/2020-MT528616.gb,MT528616.gb,MT528616,Dirk Dittmer,,,,,,,003774c237d1899ae3b7bbb62be791bd,MT528616.gb,dg.63D5/2b97dec1-77f3-4c03-968f-77a2fe934c8b,66180
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/GRC/13/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,Greece,2020-03-18,SARS-CoV-2/human/GRC/13/2020-MT328035.gb,MT328035.gb,MT328035,,,,,,,,433faf0345ff487d0bde22ecaae0472b,MT328035.gb,dg.63D5/ab9f3302-514d-4420-bb2d-4cdb44933336,66120
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/CA-CZB-1065/2020,nasopharyngeal/oropharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-04-13,SARS-CoV-2/human/USA/CA-CZB-1065/2020-MT449656.gb,MT449656.gb,MT449656,,,,,,,,8570688daeb44a461506ec449c6f3ed0,MT449656.gb,dg.63D5/1084cac3-2cd3-4bca-83e6-d1d82096d26b,65945
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC359/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-22,SARS-CoV-2/human/AUS/VIC359/2020-MT451250.gb,MT451250.gb,MT451250,,,,,,,,982f39c61fd207b5bbd403515c2d1a1a,MT451250.gb,dg.63D5/a87417d0-cfc4-437b-a4fa-d991d59859bd,67377
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/VA-DCLS-0262/2020,,Homo sapiens,taxon:2697049,USA,2020-04-01,SARS-CoV-2/human/USA/VA-DCLS-0262/2020-MT558686.gb,MT558686.gb,MT558686,,,,,,,,057740bbf89401f2d15fefbdb38b8f53,MT558686.gb,dg.63D5/8637a941-9be8-4db9-a26c-0701778d02c2,66099
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW-1651/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-03-20,SARS-CoV-2/human/USA/WA-UW-1651/2020-MT326127.gb,MT326127.gb,MT326127,,,,,,,,2667f2ea09a7f981a700f107d1e6ad29,MT326127.gb,dg.63D5/b04e693a-4e73-476d-b268-f9a394ad84eb,65953
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/Human/USA/FL-BPHL-0128/2020,,Homo sapiens,taxon:2697049,USA,2020-04-10,SARS-CoV-2/Human/USA/FL-BPHL-0128/2020-MT511691.gb,MT511691.gb,MT511691,,,,,,,,2f211f43ebd5c04cb1cc1aab47e6526f,MT511691.gb,dg.63D5/434487c8-ba0e-470e-b1c0-e8144a5d1281,66242
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW-4565/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-03-30,SARS-CoV-2/human/USA/WA-UW-4565/2020-MT375433.gb,MT375433.gb,MT375433,,,,,,,,edf5642d5526218981a1ba15036a3714,MT375433.gb,dg.63D5/c6c66c74-3dec-4bef-8afb-7a0d79aa7ab8,65941
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/MA_MGH_00182/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-03-26,SARS-CoV-2/human/USA/MA_MGH_00182/2020-MT520199.gb,MT520199.gb,MT520199,Massachusetts General Hospital,,,,,,,e90ca01d968af155599962cecea8e9ff,MT520199.gb,dg.63D5/8259bd08-6639-4a00-8e64-9593c2f6aa65,67536
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/MA_MGH_00289/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-04-01,SARS-CoV-2/human/USA/MA_MGH_00289/2020-MT520208.gb,MT520208.gb,MT520208,Massachusetts General Hospital,,,,,,,7b1dc6698182acbc31e694eedecaccee,MT520208.gb,dg.63D5/6d8e08ca-eec6-4c9a-b7e3-b3f668aa761e,67464
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC483/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-29,SARS-CoV-2/human/AUS/VIC483/2020-MT451341.gb,MT451341.gb,MT451341,,,,,,,,e7c23118257af90112d057f4aa0f637c,MT451341.gb,dg.63D5/e3f02db7-2fbb-4c4c-818b-13ccc937fae5,67275
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW-1864/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-03-23,SARS-CoV-2/human/USA/WA-UW-1864/2020-MT326036.gb,MT326036.gb,MT326036,,,,,,,,ff6cd91128d8f170f1e030edb9e780b6,MT326036.gb,dg.63D5/3ac160d9-6615-49b3-bfd2-b02a4578959e,65803
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW48/2020,,Homo sapiens,taxon:2697049,USA,2020-03-09,SARS-CoV-2/human/USA/WA-UW48/2020-MT252808.gb,MT252808.gb,MT252808,,,,,,,,31b450bd6443e25d2204b9601f688c09,MT252808.gb,dg.63D5/ecbd7ed7-9b5e-4b34-b8c7-ba61199aae38,66369
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/MA_MGH_00463/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-04-04,SARS-CoV-2/human/USA/MA_MGH_00463/2020-MT520319.gb,MT520319.gb,MT520319,Massachusetts General Hospital,,,,,,,4cc7a57099d0dfffb9d91dc518184548,MT520319.gb,dg.63D5/a53c7f36-9e2c-40b6-8123-8138c00ddfc7,67551
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW310/2020,,Homo sapiens,taxon:2697049,USA,2020-03-24,SARS-CoV-2/human/USA/WA-UW310/2020-MT263392.gb,MT263392.gb,MT263392,,,,,,,,4e7cf9bdabb53c6576c98f708b740687,MT263392.gb,dg.63D5/5a5382c0-5dbf-44e9-bd34-cfdcd09a0d80,62948
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/CT-UW-6571/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-04-03,SARS-CoV-2/human/USA/CT-UW-6571/2020-MT461665.gb,MT461665.gb,MT461665,,,,,,,,9af9535085a281194d8e51bba179d511,MT461665.gb,dg.63D5/fa56f22b-32f4-4a96-bb29-d3033abd22db,65964
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW-4707/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-04-06,SARS-CoV-2/human/USA/WA-UW-4707/2020-MT375462.gb,MT375462.gb,MT375462,,,,,,,,c90def5869a942ead582874cf8332148,MT375462.gb,dg.63D5/5d395400-5cd3-47bd-8d28-595d75fd8254,65682
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/MA_MGH_00089/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-03-25,SARS-CoV-2/human/USA/MA_MGH_00089/2020-MT520259.gb,MT520259.gb,MT520259,Massachusetts General Hospital,,,,,,,8ee8ada964037a425fd34ff21d8bba82,MT520259.gb,dg.63D5/147fc79f-47a4-4328-b34d-42ad44824f1d,67517
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC309/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-23,SARS-CoV-2/human/AUS/VIC309/2020-MT451201.gb,MT451201.gb,MT451201,,,,,,,,29b289ee462efa20acef84120ec753ed,MT451201.gb,dg.63D5/d3a50027-cc3a-40a6-85d0-bb9b8e06bc1d,66849
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC298/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-23,SARS-CoV-2/human/AUS/VIC298/2020-MT451190.gb,MT451190.gb,MT451190,,,,,,,,6d950242cb99e5c910be7ad2f3b8af11,MT451190.gb,dg.63D5/2b38c168-4458-4e06-9c83-38fc4093a6f7,66837
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW-1638/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-03-19,SARS-CoV-2/human/USA/WA-UW-1638/2020-MT326176.gb,MT326176.gb,MT326176,,,,,,,,9cbe94108f5d2d3ea8fa5df7f56a7e46,MT326176.gb,dg.63D5/f829ec62-3222-45ab-ade7-e32f0e4a6248,65990
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/CA-CZB-IX00040/2020,nasopharyngeal/oropharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-03-25,SARS-CoV-2/human/USA/CA-CZB-IX00040/2020-MT385488.gb,MT385488.gb,MT385488,,,,,,,,c33415ac7f25f9c1378390705451b410,MT385488.gb,dg.63D5/4cc1b29c-69b5-4f73-b104-71482e417fd0,65987
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/DEU/BavPat10-ChVir1482/2020,,Homo sapiens,taxon:2697049,Germany,2020-02-07,SARS-CoV-2/human/DEU/BavPat10-ChVir1482/2020-MT270110.gb,MT270110.gb,MT270110,,,,,,,,639fd7b9949d40a2afeff951fa8b2299,MT270110.gb,dg.63D5/f23aa597-d914-4fd3-be7d-1a7bef5133db,66883
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/CHN/HZ-60/2020,sputum,Homo sapiens,taxon:2697049,China,2020-01-22,SARS-CoV-2/human/CHN/HZ-60/2020-MT253705.gb,MT253705.gb,MT253705,,,,,,,,99181ffa4879a6ce045bedd4acb46eb5,MT253705.gb,dg.63D5/72ab8f43-05e7-4003-bc3a-6be4c0b0f0ab,56128
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC114/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-20,SARS-CoV-2/human/AUS/VIC114/2020-MT451023.gb,MT451023.gb,MT451023,,,,,,,,cad140b0ee84c7b367520596cdcd2ca5,MT451023.gb,dg.63D5/a86b7369-fdd7-486e-a479-7c88af4b2ceb,67282
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/Human/USA/UT-01581/2020,,Homo sapiens,taxon:2697049,USA,2020-04-07,SARS-CoV-2/Human/USA/UT-01581/2020-MT535497.gb,MT535497.gb,MT535497,,,,,,,,940e223a42410924317fa61174b1fca7,MT535497.gb,dg.63D5/3dea4a19-39f9-4ba2-94be-cd3a153ef308,65911
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW-1342/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-03-17,SARS-CoV-2/human/USA/WA-UW-1342/2020-MT326185.gb,MT326185.gb,MT326185,,,,,,,,357e3ef6416c832d2a8916b88253bfdb,MT326185.gb,dg.63D5/48c4f80f-dc74-44a7-9378-16a7ea7055de,65907
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC267/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-22,SARS-CoV-2/human/AUS/VIC267/2020-MT451163.gb,MT451163.gb,MT451163,,,,,,,,1d8ff5db7a2c81f3818f611b5990b25a,MT451163.gb,dg.63D5/2932783b-0e20-4bdb-8870-e89dd1472799,66840
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW-1778/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-03-22,SARS-CoV-2/human/USA/WA-UW-1778/2020-MT326094.gb,MT326094.gb,MT326094,,,,,,,,337c0ed324cb9fde6d91f2219b4e48ea,MT326094.gb,dg.63D5/775dae28-43dc-4042-a9af-3fbac04a63b1,65805
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC169/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-18,SARS-CoV-2/human/AUS/VIC169/2020-MT451072.gb,MT451072.gb,MT451072,,,,,,,,6d181f120cfd9df86284f979a45ab159,MT451072.gb,dg.63D5/7e61d3ab-f7e9-453c-a346-fc9f89d96c14,66832
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/VA-DCLS-0250/2020,,Homo sapiens,taxon:2697049,USA,2020-04-01,SARS-CoV-2/human/USA/VA-DCLS-0250/2020-MT558675.gb,MT558675.gb,MT558675,,,,,,,,617856f5e5887b3d9b9f30090576306c,MT558675.gb,dg.63D5/2368e20f-5296-4522-9de8-bd1483f84f5e,66098
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC233/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-21,SARS-CoV-2/human/AUS/VIC233/2020-MT451132.gb,MT451132.gb,MT451132,,,,,,,,356a63424bd6c78f04f39ccd6954327e,MT451132.gb,dg.63D5/c2a5796e-af9c-430b-aef8-a14f19906181,66871
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW-5190/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-04-01,SARS-CoV-2/human/USA/WA-UW-5190/2020-MT412230.gb,MT412230.gb,MT412230,,,,,,,,d5d87e03b64f454b47351d49a77726cf,MT412230.gb,dg.63D5/2092a2dd-2e17-4894-bee8-3a500aaacb68,65879
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/VA-DCLS-0056/2020,,Homo sapiens,taxon:2697049,USA,2020-04-01,SARS-CoV-2/human/USA/VA-DCLS-0056/2020-MT350246.gb,MT350246.gb,MT350246,,,,,,,,e35154b7da7082b6a12dfcdbcc509b7a,MT350246.gb,dg.63D5/42f76994-d82b-4db5-aa66-cac5836dcbfe,65878
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/MN_0100/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-03-05,SARS-CoV-2/human/USA/MN_0100/2020-MT344954.gb,MT344954.gb,MT344954,,5' sequence is the primer sequence used,,,,,,969768a766f57fec3ba9ee32af31c3e7,MT344954.gb,dg.63D5/8eaeb631-640c-47be-a90c-232e232cf726,66282
Severe acute respiratory syndrome coronavirus 2,genomic RNA,hCoV-19/Japan/P4-2/2020,pharyngeal swab,Homo sapiens,taxon:2697049,Japan,2020-03-12,hCoV-19/Japan/P4-2/2020-LC547524.gb,LC547524.gb,LC547524,,,,,,,,e430142b499c8d8e240bba0503bc5930,LC547524.gb,dg.63D5/0907244f-716f-4256-bccb-a81c2a7b0cd5,56362
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/NJ_3201/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-03-04,SARS-CoV-2/human/USA/NJ_3201/2020-MT325622.gb,MT325622.gb,MT325622,,5' sequence is the primer sequence used,,,,,,c9454370a430d38b3aa4398c551b817d,MT325622.gb,dg.63D5/919894fb-7b30-4f38-8253-fe46e6c7e4bb,66203
